sections,version,Q21,Q23
101,ac,6,6
101,ac,4,6
101,bd,6,6
101,bd,6,4
101,bd,6,6
101,ac,6,4
101,bd,6,6
101,bd,6,2
101,bd,6,6
101,bd,4,2
101,ac,6,6
101,ac,6,6
101,bd,4,2
101,bd,6,4
101,bd,6,6
101,ac,6,4
101,bd,4,6
101,bd,6,6
101,ac,6,2
101,ac,6,6
101,bd,4,2
101,bd,6,6
101,ac,2,6
101,ac,6,6
101,ac,6,6
101,ac,2,2
101,ac,6,4
101,ac,2,6
101,ac,4,6
101,bd,6,4
101,ac,4,4
101,bd,4,4
101,ac,2,2
101,bd,6,6
101,bd,6,6
101,ac,4,6
102,bd,6,6
102,bd,4,0
102,ac,6,6
102,bd,6,6
102,ac,6,6
102,ac,6,4
102,bd,6,4
102,ac,6,6
102,bd,4,2
102,ac,6,4
102,bd,4,2
102,bd,4,6
102,bd,6,4
102,ac,6,6
102,ac,6,6
102,ac,4,6
102,bd,6,4
102,bd,6,6
102,ac,6,6
102,ac,6,6
102,bd,6,6
102,bd,6,6
102,bd,6,6
102,ac,2,4
102,bd,4,6
102,ac,6,4
102,bd,4,0
102,bd,4,6
102,ac,6,4
102,ac,6,6
102,bd,6,6
102,ac,0,0
102,bd,2,6
102,bd,6,6
102,ac,6,6
102,ac,2,2
102,ac,6,6
102,ac,6,6
