d,Y11,Y73
73,15,30
73,45,60
73,25,40
11,25,40
11,20,35
11,21,36
73,5,20
11,8,23
11,20,35
73,5,20
73,60,75
11,20,35
11,8,23
73,10,25
11,18,33
73,15,30
11,22,37
73,-3,12
73,15,30
11,25,40
11,10,25
11,20,35
73,45,60
73,45,60
73,30,45
11,15,30
11,10,25
73,9,24
73,-5,10
73,5,20
11,8,23
73,28,43
11,18,33
73,65,80
11,10,25
11,8,23
73,15,30
11,10,25
73,13,28
73,-5,10
11,25,40
73,3,18
73,20,35
11,5,20
73,50,65
11,18,33
11,25,40
73,35,50
73,5,20
11,25,40
73,7,22
11,45,60
11,20,35
11,20,35
73,-5,10
73,17,32
11,20,35
11,10,25
11,15,30
73,0,15
73,5,20
11,20,35
