d,Y11,Y73
73,16.953413147477132,30
73,46.953413147477136,60
73,26.953413147477132,40
11,25,45.79513020598433
11,20,40.79513020598433
11,21,41.79513020598433
73,6.953413147477132,20
11,8,28.79513020598433
11,20,40.79513020598433
73,6.953413147477132,20
73,61.953413147477136,75
11,20,40.79513020598433
11,8,28.79513020598433
73,11.953413147477132,25
11,18,38.79513020598433
73,16.953413147477132,30
11,22,42.79513020598433
73,-1.0465868525228674,12
73,16.953413147477132,30
11,25,45.79513020598433
11,10,30.79513020598433
11,20,40.79513020598433
73,46.953413147477136,60
73,46.953413147477136,60
73,31.953413147477132,45
11,15,35.79513020598433
11,10,30.79513020598433
73,10.953413147477132,24
73,-3.046586852522867,10
73,6.953413147477132,20
11,8,28.79513020598433
73,29.953413147477132,43
11,18,38.79513020598433
73,66.95341314747714,80
11,10,30.79513020598433
11,8,28.79513020598433
73,16.953413147477132,30
11,10,30.79513020598433
73,14.953413147477132,28
73,-3.046586852522867,10
11,25,45.79513020598433
73,4.953413147477132,18
73,21.953413147477132,35
11,5,25.79513020598433
73,51.953413147477136,65
11,18,38.79513020598433
11,25,45.79513020598433
73,36.953413147477136,50
73,6.953413147477132,20
11,25,45.79513020598433
73,8.953413147477132,22
11,45,65.79513020598432
11,20,40.79513020598433
11,20,40.79513020598433
73,-3.046586852522867,10
73,18.953413147477132,32
11,20,40.79513020598433
11,10,30.79513020598433
11,15,35.79513020598433
73,1.9534131474771328,15
73,6.953413147477132,20
11,20,40.79513020598433
