treatment,control,ratio,ratio2,ratio3,size,size25,size50,size100,sizeno,ask,askd1,askd2,askd3,ask1,ask2,ask3,amount,gave,amountchange,hpa,ltmedmra,freq,years,year5,mrm2,dormant,female,couple,state50one,nonlit,cases,statecnt,stateresponse,stateresponset,stateresponsec,stateresponsetminc,perbush,close25,red0,blue0,redcty,bluecty,pwhite,pblack,page18_39,ave_hh_sz,median_hhincome,powner,psch_atlstba,pop_propurban
0,1,0,0,0,0,0,0,0,0,0,0,0,0,55,70,85,0,0,-45,45,0,2,4,0,31,1,0,0,0,5,4,4.500299453735352,0.019946807995438576,0.01950235292315483,0.020806241780519485,-0.0013038888573646545,0.49000000953674316,1,0,1,0,1,0.4464934468269348,0.5277692079544067,0.31759127974510193,2.0999999046325684,28517,0.4998071789741516,0.3245278000831604,1
0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,35,50,0,0,-25,25,1,2,3,0,5,0,0,0,0,0,2,2.982246160507202,0.0260869562625885,0.02783300168812275,0.022494887933135033,0.005338113754987717,0.46464645862579346,0,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA
1,0,1,0,0,3,0,0,1,0,1,1,0,0,55,70,85,0,0,-50,50,0,3,2,0,6,0,0,0,0,3,1,9.60702133178711,0.023048173636198044,0.02215891145169735,0.024743512272834778,-0.0025846008211374283,0.40816327929496765,0,0,1,0,1,0.9357064366340637,0.011948365718126297,0.2761281728744507,2.4800000190734863,51175,0.7219405770301819,0.19266793131828308,1
1,0,1,0,0,4,0,0,0,1,1,1,0,0,55,70,85,0,0,-25,50,1,15,8,1,1,0,0,0,0,1,2,3.281468152999878,0.020668692886829376,0.024702653288841248,0.012681159190833569,0.012021494098007679,0.46464645862579346,0,0,1,1,0,0.8883309364318848,0.010760401375591755,0.27941176295280457,2.6500000953674316,79269,0.92043137550354,0.41214215755462646,1
1,0,1,0,0,2,0,1,0,0,1,1,0,0,35,45,55,0,0,-15,25,1,42,95,1,24,1,1,0,0,1,1,2.3020148277282715,0.015597919933497906,0.016971278935670853,0.012886597774922848,0.004084681160748005,0.5252525210380554,0,1,0,0,1,0.7590140700340271,0.12742094695568085,0.4423888623714447,1.850000023841858,40908,0.4160720705986023,0.439965158700943,1
0,1,0,0,0,0,0,0,0,0,0,0,0,0,95,120,145,0,0,-45,90,0,20,10,1,3,0,0,0,0,0,0,0.5306203961372375,0.01879699155688286,0.026455026119947433,0,0.026455026119947433,0.5102040767669678,1,1,0,1,0,0.8620532751083374,0.07157184183597565,0.36323851346969604,2.9200000762939453,61779,0.9413385987281799,0.20084033906459808,0.9623450040817261
1,0,1,0,0,1,1,0,0,0,3,0,0,1,125,160,190,0,0,-50,100,0,12,8,1,4,0,1,0,0,0,1,1.1390384435653687,0.01576182059943676,0.020460357889533043,0.0055555556900799274,0.014904802665114403,0.6060606241226196,0,1,0,1,0,0.882911741733551,0.09740812331438065,0.3764462471008301,2.0999999046325684,54655,0.6958798170089722,0.5545675754547119,1
1,0,2,1,0,3,0,0,1,0,3,0,0,1,75,95,120,0,0,-65,65,0,13,16,1,4,0,0,0,0,4,3,17.36884117126465,0.018950270488858223,0.018493151292204857,0.019881408661603928,-0.0013882573693990707,0.4444444477558136,0,0,1,0,1,0.903296709060669,0.019493550062179565,0.21204014122486115,2.4700000286102295,141527,0.8979057669639587,0.7081224918365479,1
1,0,2,1,0,4,0,0,0,1,2,0,1,0,250,315,375,0,0,-100,200,0,28,19,1,6,0,0,0,0,1,1,2.3020148277282715,0.015597919933497906,0.016971278935670853,0.012886597774922848,0.004084681160748005,0.5252525210380554,0,1,0,1,0,0.9278507828712463,0.004738612100481987,0.2494649887084961,2.490000009536743,37017,0.7631507515907288,0.20582814514636993,0.5990522503852844
1,0,1,0,0,1,1,0,0,0,2,0,1,0,150,190,225,0,0,-125,125,0,4,7,1,35,1,0,0,0,4,3,17.36884117126465,0.018950270488858223,0.018493151292204857,0.019881408661603928,-0.0013882573693990707,0.4444444477558136,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA
