id,poison,drug,hrs
1,1,1,0.31
2,1,1,0.45
3,1,1,0.46
4,1,1,0.43
5,1,2,0.82
6,1,2,1.1
7,1,2,0.88
8,1,2,0.72
9,1,3,0.43
10,1,3,0.45
11,1,3,0.63
12,1,3,0.76
13,1,4,0.45
14,1,4,0.71
15,1,4,0.66
16,1,4,0.62
17,2,1,0.36
18,2,1,0.29
19,2,1,0.4
20,2,1,0.23
21,2,2,0.92
22,2,2,0.61
23,2,2,0.49
24,2,2,1.24
25,2,3,0.44
26,2,3,0.35
27,2,3,0.31
28,2,3,0.4
29,2,4,0.56
30,2,4,1.02
31,2,4,0.71
32,2,4,0.38
33,3,1,0.22
34,3,1,0.21
35,3,1,0.18
36,3,1,0.23
37,3,2,0.3
38,3,2,0.37
39,3,2,0.38
40,3,2,0.29
41,3,3,0.23
42,3,3,0.25
43,3,3,0.24
44,3,3,0.22
45,3,4,0.3
46,3,4,0.36
47,3,4,0.31
48,3,4,0.33
